YEAR,MO,DY,HR,T2M,PRECTOTCORR,QV2M,WS10M,ALLSKY_SRF_ALB
2016,1,9,5,14.23,0,4.39,2.76,-999
2016,1,9,6,13.6,0,4.39,2.81,-999
2016,1,9,7,15.19,0,4.46,3.82,0.21
2016,1,9,8,18,0,4.46,3.6,0.15
2016,1,9,9,22.55,0,4.58,3.84,0.15
2016,1,9,10,27.29,0,4.52,2.81,0.14
2016,1,9,11,29.44,0,4.27,1.06,0.16
2016,1,9,12,30.77,0,3.91,0.37,0.14
2016,1,9,13,31.54,0,3.48,1.17,0.14
2016,1,9,14,31.55,0,3.23,1.62,0.15
2016,1,9,15,30.95,0,3.05,1.95,0.14
2016,1,9,16,28.85,0,3.11,1.66,0.19
2016,1,9,17,25.33,0,3.05,1.93,0.18
2016,1,9,18,23.76,0,2.99,2.11,-999
2016,1,9,19,22.62,0,3.05,2.21,-999
2016,1,9,20,21.68,0,3.05,2.21,-999
2016,1,9,21,20.59,0,3.05,2.28,-999
2016,1,9,22,19.4,0,3.05,2.41,-999
2016,1,9,23,18.57,0,3.05,2.37,-999
2016,1,10,0,17.62,0,3.05,2.39,-999
2016,1,10,1,16.65,0,3.05,2.43,-999
2016,1,10,2,15.56,0,3.11,2.59,-999
2016,1,10,3,14.58,0,3.17,2.78,-999
2016,1,10,4,13.86,0,3.17,2.88,-999
2016,1,10,5,13.26,0,3.23,2.87,-999
2016,1,10,6,12.7,0,3.23,2.77,-999
2016,1,10,7,14.5,0,3.17,2.79,0.21
2016,1,10,8,17.76,0,3.17,2.9,0.14
2016,1,10,9,21.69,0,3.23,1.62,0.14
2016,1,10,10,26.12,0,3.23,0.45,0.14
2016,1,10,11,29.63,0,3.05,1.2,0.14
2016,1,10,12,30.83,0,2.87,1.52,0.12
2016,1,10,13,31.28,0,2.81,1.58,0.12
2016,1,10,14,31.3,0,2.69,1.47,0.12
2016,1,10,15,30.81,0,2.62,1.52,0.11
2016,1,10,16,28.74,0,2.75,1.36,0.19
2016,1,10,17,25.33,0,2.62,1.83,0.17
2016,1,10,18,23.53,0,2.56,2.13,-999
2016,1,10,19,21.87,0,2.56,2.49,-999
2016,1,10,20,20.2,0,2.62,2.82,-999
2016,1,10,21,18.8,0,2.62,3.07,-999
2016,1,10,22,17.73,0,2.62,3.21,-999
2016,1,10,23,16.85,0,2.62,3.26,-999
2016,1,11,0,16.07,0,2.62,3.27,-999
2016,1,11,1,15.37,0,2.69,3.26,-999
2016,1,11,2,14.76,0,2.69,3.23,-999
2016,1,11,3,14.22,0,2.81,3.13,-999
2016,1,11,4,13.75,0,2.87,2.98,-999
2016,1,11,5,13.4,0,2.93,2.81,-999
2016,1,11,6,13.12,0,2.93,2.67,-999
2016,1,11,7,14.97,0,2.99,2.3,0.21
2016,1,11,8,18.65,0,2.99,2.69,0.1
2016,1,11,9,22.48,0,2.99,1.75,0.12
2016,1,11,10,27.53,0,2.93,0.83,0.14
2016,1,11,11,30.4,0,3.23,0.78,0.12
2016,1,11,12,31.57,0,3.48,1.75,0.12
2016,1,11,13,31.89,0,3.6,1.99,0.12
2016,1,11,14,31.65,0,3.6,1.89,0.12
2016,1,11,15,31,0,3.6,2.24,0.1
2016,1,11,16,28.79,0,3.66,1.93,0.19
2016,1,11,17,24.25,0,3.6,2.56,0.17
2016,1,11,18,22.22,0,3.66,3.01,-999
2016,1,11,19,21.05,0,3.72,3.33,-999
